,features_tag,features
0,features_nfeats_20_split_0,"['Mean_rh_wg_pct_precentral', 'GrayVol_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'ThickAvg_rh_parsopercularis', 'normMax_Right-Caudate', 'normMax_3rd-Ventricle', 'GausCurv_lh_fusiform', 'normMax_CC_Central', 'normMax_CC_Anterior', 'Mean_lh_wg_pct_precentral', 'ThickAvg_lh_parstriangularis', 'GausCurv_rh_cuneus', 'GrayVol_lh_lateralorbitofrontal', 'normMinwm-rh-cuneus', 'normMaxwm-lh-parsorbitalis', 'normMaxwm-rh-parsopercularis', 'normMaxwm-lh-lingual']"
1,features_nfeats_20_split_1,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_rh_parstriangularis', 'normMax_Left-Pallidum', 'ThickAvg_rh_posteriorcingulate', 'GausCurv_lh_fusiform', 'normStdDev_Left-Cerebellum-Cortex', 'normMaxwm-rh-superiorfrontal', 'Mean_lh_wg_pct_paracentral', 'normMax_3rd-Ventricle', 'Volume_mm3_Left-Putamen', 'normMax_Right-Caudate', 'GausCurv_rh_transversetemporal', 'Mean_rh_wg_pct_parsopercularis', 'ThickAvg_lh_parsopercularis', 'normMaxwm-lh-parahippocampal']"
2,features_nfeats_20_split_2,"['Mean_rh_wg_pct_precentral', 'rh_MeanThickness', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'ThickAvg_rh_parstriangularis', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Pallidum', 'normMaxwm-rh-superiorfrontal', 'Mean_lh_wg_pct_paracentral', 'ThickAvg_rh_superiorfrontal', 'normMax_Right-Caudate', 'normMaxwm-lh-parsorbitalis', 'normMax_3rd-Ventricle', 'ThickAvg_lh_rostralanteriorcingulate', 'TotalGrayVol', 'GausCurv_rh_lingual', 'ThickAvg_rh_rostralmiddlefrontal']"
3,features_nfeats_20_split_3,"['Mean_rh_wg_pct_precentral', 'rh_MeanThickness', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_lh_parstriangularis', 'normStdDev_Left-Cerebellum-Cortex', 'normMaxwm-lh-superiorfrontal', 'ThickAvg_rh_parsopercularis', 'normMax_Right-Caudate', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_superiorfrontal', 'Mean_lh_wg_pct_precentral', 'ThickAvg_rh_posteriorcingulate', 'normMax_CC_Central', 'normRange_Right-Accumbens-area', 'normMax_3rd-Ventricle', 'normMaxwm-rh-insula', 'ThickAvg_lh_rostralanteriorcingulate']"
4,features_nfeats_20_split_4,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normStdDevwm-rh-insula', 'ThickAvg_lh_parstriangularis', 'normMaxwm-lh-rostralmiddlefrontal', 'normMax_Left-Pallidum', 'normMax_3rd-Ventricle', 'Mean_rh_wg_pct_paracentral', 'normMax_Right-Caudate', 'normMin_CSF', 'ThickAvg_rh_parstriangularis', 'TotalGrayVol', 'CortexVol', 'normMinwm-rh-insula', 'ThickAvg_lh_rostralanteriorcingulate', 'normMin_Left-choroid-plexus', 'lh_MeanThickness']"
5,features_nfeats_20_split_5,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normStdDevwm-rh-insula', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_superiorparietal', 'normMax_Left-Pallidum', 'ThickAvg_lh_insula', 'normMax_3rd-Ventricle', 'GausCurv_rh_lingual', 'Volume_mm3_Left-Putamen', 'GausCurv_rh_transversetemporal', 'normMax_Right-Caudate', 'Mean_lh_wg_pct_precentral', 'normMaxwm-rh-superiorfrontal', 'ThickAvg_rh_parstriangularis']"
6,features_nfeats_20_split_6,"['Mean_rh_wg_pct_precentral', 'ThickAvg_lh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-parsorbitalis', 'ThickAvg_rh_parstriangularis', 'normMax_Right-Caudate', 'normMaxwm-rh-superiorfrontal', 'MeanCurv_rh_superiorparietal', 'Volume_mm3_Left-Putamen', 'normMax_3rd-Ventricle', 'ThickAvg_lh_insula', 'normMax_Right-Pallidum', 'GausCurv_rh_transversetemporal', 'ThickAvg_lh_precentral', 'normMin_Left-Thalamus-Proper', 'Volume_mm3_Right-Putamen', 'Mean_lh_wg_pct_precentral', 'GausCurv_rh_lingual']"
7,features_nfeats_20_split_7,"['Mean_rh_wg_pct_precentral', 'ThickAvg_lh_superiorfrontal', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Left-Pallidum', 'normMaxwm-lh-parsorbitalis', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_rostralanteriorcingulate', 'Volume_mm3_Right-Putamen', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Caudate', 'normMaxwm-rh-superiorfrontal', 'GausCurv_rh_transversetemporal', 'ThickAvg_rh_posteriorcingulate', 'Mean_rh_wg_pct_paracentral', 'normMax_CC_Central', 'normMaxwm-lh-insula', 'ThickAvg_rh_parsopercularis', 'lh_MeanThickness', 'normMax_3rd-Ventricle']"
8,features_nfeats_20_split_8,"['rh_MeanThickness', 'Mean_lh_wg_pct_precentral', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'normStdDev_Left-Cerebellum-Cortex', 'ThickAvg_lh_parsopercularis', 'normMax_Right-Caudate', 'ThickAvg_rh_superiorfrontal', 'normMaxwm-rh-superiorfrontal', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_parstriangularis', 'normMaxwm-lh-parsorbitalis', 'normMax_3rd-Ventricle', 'Mean_rh_wg_pct_precentral', 'ThickAvg_lh_rostralanteriorcingulate', 'Volume_mm3_Left-Putamen', 'normMax_Left-Pallidum', 'MeanCurv_rh_superiorparietal']"
9,features_nfeats_20_split_9,"['Mean_rh_wg_pct_precentral', 'ThickAvg_rh_parsopercularis', 'GrayVol_lh_superiorfrontal', 'normStdDev_Left-Caudate', 'normMax_Right-Pallidum', 'normMaxwm-lh-rostralmiddlefrontal', 'normMax_Right-Caudate', 'ThickAvg_lh_rostralanteriorcingulate', 'normMax_3rd-Ventricle', 'ThickAvg_lh_caudalmiddlefrontal', 'Mean_lh_wg_pct_postcentral', 'GausCurv_lh_fusiform', 'normMax_CC_Central', 'normMaxwm-rh-insula', 'GrayVol_rh_superiorfrontal', 'normMaxwm-lh-parsorbitalis', 'normMaxwm-lh-parahippocampal', 'normMin_CSF', 'normMaxwm-rh-parsopercularis', 'GausCurv_rh_transversetemporal']"
