,features_tag,features
0,features_nfeats_20_split_0,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'Volume_mm3_Right-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'Volume_mm3_Left-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'ThickAvg_rh_posteriorcingulate', 'lh_MeanThickness', 'ThickAvg_lh_parsopercularis', 'ThickAvg_lh_inferiorparietal', 'FoldInd_rh_rostralmiddlefrontal', 'SurfArea_lh_lateralorbitofrontal', 'ThickAvg_rh_lingual', 'ThickAvg_rh_medialorbitofrontal', 'ThickAvg_lh_precentral', 'GrayVol_lh_inferiorparietal', 'lhCortexVol']"
1,features_nfeats_20_split_1,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3wm-lh-lateraloccipital', 'Volume_mm3_Left-Putamen', 'GrayVol_lh_lateralorbitofrontal', 'ThickStd_lh_medialorbitofrontal', 'GrayVol_rh_precentral', 'ThickAvg_lh_parsopercularis', 'lh_MeanThickness', 'ThickAvg_rh_precentral', 'FoldInd_rh_rostralmiddlefrontal', 'Volume_mm3_Right-Accumbens-area', 'ThickAvg_rh_parsopercularis', 'GrayVol_rh_postcentral', 'GrayVol_rh_insula', 'ThickAvg_lh_insula', 'GrayVol_lh_inferiorparietal', 'ThickAvg_lh_precentral', 'GrayVol_rh_superiorfrontal']"
2,features_nfeats_20_split_2,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'Volume_mm3_Right-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickStd_lh_medialorbitofrontal', 'GrayVol_rh_insula', 'ThickAvg_lh_parstriangularis', 'Volume_mm3_Right-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'ThickAvg_rh_rostralanteriorcingulate', 'GrayVol_rh_middletemporal', 'FoldInd_lh_superiorparietal', 'ThickAvg_rh_parsopercularis', 'lh_MeanThickness', 'ThickAvg_lh_precentral', 'GrayVol_rh_precentral', 'FoldInd_rh_rostralmiddlefrontal']"
3,features_nfeats_20_split_3,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'ThickAvg_lh_rostralanteriorcingulate', 'Volume_mm3_Right-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_lh_rostralmiddlefrontal', 'GrayVol_rh_middletemporal', 'ThickStd_lh_lateralorbitofrontal', 'GrayVol_rh_insula', 'ThickAvg_rh_parsopercularis', 'FoldInd_lh_postcentral', 'Volume_mm3_Left-Putamen', 'lh_MeanThickness', 'ThickAvg_lh_precentral', 'GrayVol_rh_precentral']"
4,features_nfeats_20_split_4,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'ThickAvg_lh_insula', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_medialorbitofrontal', 'ThickAvg_lh_rostralmiddlefrontal', 'ThickAvg_rh_rostralanteriorcingulate', 'Volume_mm3_Left-Accumbens-area', 'GausCurv_lh_inferiortemporal', 'GrayVol_rh_precentral', 'GrayVol_rh_lateralorbitofrontal', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_supramarginal', 'TotalGrayVol', 'FoldInd_rh_rostralmiddlefrontal']"
5,features_nfeats_20_split_5,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'ThickAvg_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'Volume_mm3_Right-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_rostralanteriorcingulate', 'MeanCurv_rh_transversetemporal', 'ThickStd_rh_superiorfrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_medialorbitofrontal', 'GrayVol_rh_insula', 'ThickAvg_lh_parstriangularis', 'lh_MeanThickness', 'ThickStd_lh_medialorbitofrontal', 'GrayVol_rh_lateralorbitofrontal', 'ThickAvg_lh_precentral']"
6,features_nfeats_20_split_6,"['GrayVol_lh_superiorfrontal', 'SurfArea_lh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'MeanCurv_rh_transversetemporal', 'ThickAvg_lh_parstriangularis', 'SubCortGrayVol', 'Volume_mm3_Right-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_lh_lateralorbitofrontal', 'ThickAvg_rh_medialorbitofrontal', 'GrayVol_rh_middletemporal', 'lh_MeanThickness', 'ThickAvg_lh_insula', 'lhCortexVol', 'FoldInd_rh_rostralmiddlefrontal', 'ThickAvg_rh_precentral', 'GrayVol_rh_supramarginal', 'GrayVol_rh_posteriorcingulate', 'GrayVol_lh_precuneus', 'GrayVol_rh_superiorfrontal']"
7,features_nfeats_20_split_7,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Right-choroid-plexus', 'Volume_mm3_Right-Putamen', 'ThickAvg_rh_precentral', 'SubCortGrayVol', 'ThickAvg_lh_insula', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'ThickAvg_lh_superiorfrontal', 'GrayVol_rh_middletemporal', 'lh_MeanThickness', 'GrayVol_lh_precentral', 'GrayVol_lh_lateralorbitofrontal', 'FoldInd_lh_inferiorparietal', 'GrayVol_rh_insula', 'ThickAvg_rh_insula', 'ThickAvg_lh_parsopercularis', 'GrayVol_rh_superiorfrontal', 'TotalGrayVol', 'ThickAvg_rh_medialorbitofrontal']"
8,features_nfeats_20_split_8,"['GrayVol_lh_superiorfrontal', 'Volume_mm3_Left-choroid-plexus', 'Volume_mm3_Right-Putamen', 'ThickAvg_lh_superiorfrontal', 'SubCortGrayVol', 'Volume_mm3_Left-Caudate', 'Volume_mm3_Left-Thalamus-Proper', 'GrayVol_rh_middletemporal', 'ThickAvg_rh_insula', 'ThickStd_rh_superiorfrontal', 'FoldInd_lh_inferiorparietal', 'GrayVol_lh_insula', 'ThickAvg_lh_precentral', 'GrayVol_lh_lateralorbitofrontal', 'CortexVol', 'GrayVol_rh_superiorfrontal', 'ThickAvg_lh_postcentral', 'ThickAvg_lh_parsopercularis', 'ThickAvg_rh_posteriorcingulate', 'GrayVol_lh_parstriangularis']"
9,features_nfeats_20_split_9,"['GrayVol_lh_superiorfrontal', 'ThickAvg_rh_superiorfrontal', 'Volume_mm3_Right-Putamen', 'SubCortGrayVol', 'Volume_mm3_Left-Thalamus-Proper', 'Volume_mm3_Left-Caudate', 'ThickAvg_lh_insula', 'GrayVol_lh_insula', 'GrayVol_rh_middletemporal', 'ThickAvg_lh_parstriangularis', 'GrayVol_lh_lateralorbitofrontal', 'ThickStd_rh_superiorfrontal', 'GrayVol_lh_precentral', 'ThickAvg_rh_precentral', 'FoldInd_rh_rostralmiddlefrontal', 'Volume_mm3_Left-Accumbens-area', 'GrayVol_rh_superiorfrontal', 'rhCortexVol', 'ThickAvg_lh_precentral', 'lh_MeanThickness']"
